Session,Session Name,Proceeding Order,Submission No.,Title,Authors
1-A,Accelerators,1,1,Improving the Locality of Graph Processing through Hardware-Accelerated Traversal Scheduling,"Anurag Mukkara:MIT CSAIL ;Nathan Beckmann:CMU SCS ;Maleen Abeydeera:MIT CSAIL ;Xiaosong Ma:QCRI, HBKU ;Daniel Sanchez:MIT CSAIL"
1-A,Accelerators,2,2,Addressing Irregularity in Sparse Neural Networks:A Cooperative Software/Hardware Approach,"Xuda Zhou:USTC ;Zidong Du:Institute of Computing Technology, Chinese Academy of Sciences/Cambricon ;QI Guo:Institute of Computing Technology, Chinese Academy of Sciences/Cambricon ;Chengsi Liu:MSU ;Chao Wang:USTC ;Xuehai Zhou:USTC ;Ling Li:Institute of Computing Technology, Chinese Academy of Sciences ;Tianshi Chen :Institute of Computing Technology, Chinese Academy of Sciences/Cambricon ;Yunji Chen:Institute of Computing Technology, Chinese Academy of Sciences"
1-A,Accelerators,3,3,CSE: Convergence Set Based Enumerative FSM,Youwei Zhuo:University of Southern California ;Jinglei Cheng:Tsinghua University ;Qinyi Luo:University of Southern California ;Jidong Zhai:Tsinghua University ;Yanzhi Wang:Syracuse University ;Zhongzhi Luan:Beihang University ;Xuehai Qian:University of Southern California   
1-A,Accelerators,4,4,"Inter-thread Communication in Multithreaded, Reconfigurable Coarse-grain Arrays",Dani Voitsechov:Technion ;Oron Port:Technion ;Yoav Etsion:Technion
1-A,Accelerators,5,5,An Architectural Framework for Accelerating Dynamic Parallel Algorithms on Reconfigurable Hardware,Tao Chen:Cornell University ;Shreesha Srinath:Cornell University ;Christopher Batten:Cornell University ;G. Edward Suh:Cornell University
1-B,Microarchitecture,6,6,Composable Building Blocks to Open up Processor Design,Sizhuo Zhang:MIT ;Andrew Wright:MIT ;Thomas Bourgeat:MIT ;Arvind:MIT
1-B,Microarchitecture,7,7,Performance Improvement by Prioritizing the Issue of the Instructions in Unconfident Branch Slices,Hideki Ando:Nagoya University 
1-B,Microarchitecture,8,8,The Superfluous Load Queue,Alberto Ros:University of Murcia ;Stefanos Kaxiras:Uppsala University
1-B,Microarchitecture,9,9,Architectural Support for Probabilistic Branches,Almutaz Adileh:Ghent University ;David Lilja:University of Minnesota ;Lieven Eeckhout:Ghent University 
1-B,Microarchitecture,10,10,STRAIGHT: Hazardless Processor Architecture Without Register Renaming,Hidetsugu Irie:the University of Tokyo ;Toru Koizumi:the University of Tokyo ;Akifumi Fukuda:the University of Tokyo ;Seiya Akaki:the University of Tokyo ;Satoshi Nakae:the University of Tokyo ;Yutaro Bessho:the University of Tokyo ;Ryota Shioya:Nagoya University ;Takahiro Notsu:FUJITSU LABORATORIES LTD. ;Katsuhiro Yoda:FUJITSU LABORATORIES LTD. ;Teruo Ishihara:FUJITSU LABORATORIES LTD. ;Shuichi Sakai:the University of Tokyo  
2-A,ML accelerators,11,11,Diffy: a Deja vu-Free Differential Deep Neural Network Accelerator,Mostafa Mahmoud:University of Toronto ;Kevin Siu:University of Toronto ;Andreas Moshovos:University of Toronto
